Epoch,Training Accuracy,Validation Accuracy,Training Loss,Validation Loss,RMSE,Top 5 Accuracy
0,0.312500002,0,1.095958099,1.130988002,0.470564647,1
"0","0.0","0.0","1.095913052558899","1.101735234260559","0.4708860516548157","1.0"
"1","0.0","0.0","1.0933189392089844","1.0987809896469116","0.47027164697647095","1.0"
"2","0.0","0.0","1.0896329879760742","1.0950857400894165","0.4693959355354309","1.0"
"3","0.5","1.0","1.0849789381027222","1.0907044410705566","0.46828582882881165","1.0"
"4","0.5","1.0","1.0794188976287842","1.0856523513793945","0.4669526219367981","1.0"
"5","0.5","1.0","1.0729821920394897","1.0800029039382935","0.46539992094039917","1.0"
"6","0.5","1.0","1.065828800201416","1.073836088180542","0.46366265416145325","1.0"
"7","0.5","1.0","1.0580514669418335","1.067230224609375","0.46175968647003174","1.0"
"8","0.5","1.0","1.0497303009033203","1.0602411031723022","0.45970726013183594","1.0"
"9","0.5","1.0","1.0409290790557861","1.0529193878173828","0.4575178027153015","1.0"
"10","1.0","1.0","1.0317120552062988","1.0453221797943115","0.4552042484283447","1.0"
"11","1.0","1.0","1.0221494436264038","1.037809133529663","0.4527814984321594","1.0"
"12","1.0","1.0","1.0123023986816406","1.0301799774169922","0.45026254653930664","1.0"
"13","1.0","1.0","1.0022894144058228","1.0224223136901855","0.4476747512817383","1.0"
"14","1.0","1.0","0.992148756980896","1.0145572423934937","0.4450269937515259","1.0"
"15","1.0","1.0","0.9819176197052002","1.0065929889678955","0.44232815504074097","1.0"
"16","1.0","1.0","0.9715468883514404","0.9985499382019043","0.4395643472671509","1.0"
"17","1.0","1.0","0.9608396291732788","0.9904466271400452","0.4366828203201294","1.0"
"18","1.0","1.0","0.950020432472229","0.9822992086410522","0.4337398409843445","1.0"
"19","1.0","1.0","0.9391157627105713","0.9738141894340515","0.43074139952659607","1.0"
"20","1.0","1.0","0.928149402141571","0.9652826189994812","0.4276930093765259","1.0"
"21","1.0","1.0","0.9171426296234131","0.9568572044372559","0.42459964752197266","1.0"
"22","1.0","1.0","0.9061123132705688","0.9483146667480469","0.42146551609039307","1.0"
"23","1.0","1.0","0.8950545191764832","0.9399179220199585","0.41828837990760803","1.0"
"24","1.0","1.0","0.8840039372444153","0.9312475919723511","0.4150781035423279","1.0"
"25","1.0","1.0","0.8729745149612427","0.9225459098815918","0.41183847188949585","1.0"
"26","1.0","1.0","0.86197829246521","0.9138668179512024","0.40857285261154175","1.0"
"27","1.0","1.0","0.851026177406311","0.9052021503448486","0.40528443455696106","1.0"
"28","1.0","1.0","0.8401778340339661","0.8964716792106628","0.4019924998283386","1.0"
"29","1.0","1.0","0.8294123411178589","0.8879113793373108","0.3986901640892029","1.0"
"30","1.0","1.0","0.818719744682312","0.8793817162513733","0.39537471532821655","1.0"
"31","1.0","1.0","0.8081064820289612","0.870873749256134","0.3920486569404602","1.0"
"32","1.0","1.0","0.7975703477859497","0.8623906970024109","0.38871151208877563","1.0"
"33","1.0","1.0","0.7871429920196533","0.8539702296257019","0.3853739798069","1.0"
"34","1.0","1.0","0.7768756151199341","0.8456151485443115","0.3820538818836212","1.0"
"35","1.0","1.0","0.766701340675354","0.8373281955718994","0.37872999906539917","1.0"
"36","1.0","1.0","0.7566214799880981","0.8291117548942566","0.3754032850265503","1.0"
"37","1.0","1.0","0.74663907289505","0.8209678530693054","0.37207549810409546","1.0"
"38","1.0","1.0","0.7368291020393372","0.8128981590270996","0.368772029876709","1.0"
"39","1.0","1.0","0.7272015810012817","0.8049230575561523","0.3654977083206177","1.0"
"40","1.0","1.0","0.7176748514175415","0.7970380783081055","0.36222636699676514","1.0"
"41","1.0","1.0","0.7082493901252747","0.7892298698425293","0.3589588701725006","1.0"
"42","1.0","1.0","0.6989257335662842","0.7814538478851318","0.3556961715221405","1.0"
